Unnamed: 0,name,hp,hp formula,hp special,ac,ac special,cr,str,dex,con,int,wis,cha,str save,dex save,con save,int save,wis save,cha save,walk,fly,swim,burrow,climb,hover,size,alignment,type,source
2621,Swashbuckler,66,12d8 + 12,-,17,-,3,12,18,12,14,11,15,-,-,-,-,-,-,30,-,-,-,-,-,M,NXCGNYE,humanoid,VGM
426,Draconian Infiltrator,39,6d8 + 12,-,15,-,3,11,17,14,9,13,11,-,+5,-,-,-,-,40,-,-,-,30,-,M,A,monstrosity,FTD
2834,Terenzio Cassalanter,-,-,1,10,-,Unknown,10,10,10,10,10,10,-,-,-,-,-,-,30,-,-,-,-,-,S,N,humanoid,WDH
1749,Sword Wraith Commander,127,15d8 + 60,-,18,-,8,18,14,18,11,12,14,-,-,-,-,-,-,30,-,-,-,-,-,M,LE,undead,MTF
317,Ferol Sal,45,6d8 + 18,-,14,-,3,15,14,16,16,13,15,-,-,-,-,-,-,30,-,-,-,-,-,M,NE,undead,EGW
2307,Estia,200,16d12 + 96,-,14,-,9,27,10,22,12,16,16,-,-,+10,-,+7,+7,40,-,-,-,-,-,H,"NG, NE",giant,TftYP
1138,Merfolk,11,2d8 + 2,-,11,-,1/8,10,13,12,11,11,12,-,-,-,-,-,-,10,-,40,-,-,-,M,N,humanoid,MM
184,Piccolo,3,1d6,-,12,-,0,8,14,11,4,12,6,-,-,-,-,-,-,30,-,-,-,30,-,S,U,beast,CoS
2839,Vajra Safahr,126,23d8 + 23,-,14,-,13,10,14,12,20,11,16,+2,+4,+3,+12,+7,+5,30,-,-,-,-,-,M,LN,humanoid,WDH
1191,Quadrone,22,4d8 + 4,-,16,-,1,12,14,12,10,10,11,-,-,-,-,-,-,30,30,-,-,-,-,M,LN,construct,MM
1210,Rust Monster,27,5d8 + 5,-,14,-,1/2,13,12,13,2,13,6,-,-,-,-,-,-,40,-,-,-,-,-,M,U,monstrosity,MM
2588,Meenlock,31,7d6 + 7,-,15,-,2,7,15,12,11,10,8,-,-,-,-,-,-,30,-,-,-,-,-,S,NE,fey,VGM
1568,Yagnoloth,147,14d10 + 70,-,17,-,11,19,14,21,16,15,18,-,+6,-,+7,+6,+8,40,-,-,-,-,-,L,NE,fiend,MPMM
865,King Robbit the Slimy,27,5d6 + 10,-,13,-,2,7,16,15,10,11,15,-,+5,-,-,-,-,25,-,-,-,25,-,S,lawful grumpy,humanoid,MGELFT
363,Inspired,40,9d8,-,12,-,2,11,14,10,16,10,16,-,-,-,+5,+2,-,30,-,-,-,-,-,M,LE,humanoid,ERLW
972,Deer,4,1d8,-,13,-,0,11,16,11,2,14,5,-,-,-,-,-,-,50,-,-,-,-,-,M,U,beast,MM
2398,Tarul Var,105,14d8 + 42,-,16,-,13,11,16,16,19,14,16,-,-,+8,+9,+7,-,30,-,-,-,-,-,M,NE,undead,TftYP
2907,Mobar,42,7d6,-,13,-,2,8,17,10,10,12,8,-,-,-,-,-,-,-,-,-,-,-,-,S,LE,humanoid,WDMM
2035,"Nurvureem, The Dark Lady",195,17d12 + 85,-,19,-,14,23,14,21,14,13,17,-,+7,+10,-,+6,+8,40,80,40,-,-,-,H,CE,dragon,PotA
446,Elder Brain Dragon,350,20d20 + 140,-,17,-,22,27,13,25,21,19,24,-,-,+14,+12,+11,+14,40,80,-,-,-,True,G,LE,aberration,FTD
2343,Kobold Elite,7,2d6 - 2,-,12,-,1/8,7,15,9,8,7,8,-,-,-,-,-,-,30,-,-,-,-,-,S,LE,humanoid,TftYP
2,Brahma Lutier,33,6d8 + 6,-,12,-,2,12,15,12,11,13,16,-,-,-,-,-,-,30,-,-,-,-,-,M,N,humanoid,AI
1113,Kobold,5,2d6 - 2,-,12,-,1/8,7,15,9,8,7,8,-,-,-,-,-,-,30,-,-,-,-,-,S,LE,humanoid,MM
2432,Chwinga,5,2d4,-,15,-,0,1,20,10,14,16,16,-,-,-,-,-,-,20,-,20,-,20,-,T,N,elemental,ToA
216,Walking Corpse,4,1d8,-,10,-,0,10,10,10,10,10,10,-,-,-,-,-,-,20,-,-,-,-,-,M,A,humanoid,CoS
320,Gearkeeper Construct,161,17d10 + 68,-,18,-,10,20,16,18,3,11,1,-,-,-,-,-,-,60,-,-,-,-,-,L,U,construct,EGW
2813,Obaya Uday,27,5d8 + 5,-,13,-,2,10,10,12,13,16,13,-,-,-,-,-,-,30,-,-,-,-,-,M,NG,humanoid,WDH
1339,Banderhobb,84,8d10 + 40,-,15,-,5,20,12,20,11,14,8,-,-,-,-,-,-,30,-,-,-,-,-,L,NE,monstrosity,MPMM
900,Ape,19,3d8 + 6,-,12,-,1/2,16,14,14,6,12,7,-,-,-,-,-,-,30,-,-,-,30,-,M,U,beast,MM
2086,Red Wizard,40,9d8,-,12,-,6,9,14,11,17,12,11,-,-,-,+6,+4,-,30,-,-,-,-,-,M,A,humanoid,RoT
2627,Ulitharid,127,17d10 + 14,-,15,-,9,15,12,15,21,19,21,-,-,-,+9,+8,+9,30,-,-,-,-,-,L,LE,aberration,VGM
2446,Girallon Zombie,59,7d10 + 21,-,11,-,3,18,12,16,3,7,5,-,-,-,-,-,-,30,-,-,-,30,-,L,CE,undead,ToA
719,Walrus,22,3d10 + 6,-,9,-,1/4,15,9,14,3,11,4,-,-,-,-,-,-,20,-,40,-,-,-,L,U,beast,IDRotF
1975,Shade,16,3d8 + 3,-,12,-,1/2,6,14,13,6,10,8,-,-,-,-,-,-,40,-,-,-,-,-,M,CE,undead,PSZ
316,Damaged Flesh Golem,5,11d8 + 44,-,9,-,1,19,9,18,6,10,5,-,-,-,-,-,-,30,-,-,-,-,-,M,N,construct,EGW
243,Fiendish Orc,15,2d8 + 6,-,13,-,1/2,16,12,16,7,11,10,-,-,-,-,-,-,30,-,-,-,-,-,M,CE,fiend,CRCotN
603,Sahuagin High Priestess,71,11d8 + 22,-,14,-,5,14,12,14,12,16,10,-,-,-,-,+6,-,30,-,40,-,-,-,M,LE,humanoid,GoS
2522,Bodak,58,9d8 + 18,-,15,-,6,15,16,15,7,12,12,-,-,-,-,-,-,30,-,-,-,-,-,M,CE,undead,VGM
1204,Revenant,136,16d8 + 64,-,13,-,5,18,14,18,13,16,18,+7,-,+7,-,+6,+7,30,-,-,-,-,-,M,N,undead,MM
2540,Cranium Rat,2,1d4,-,12,-,0,2,14,10,4,11,8,-,-,-,-,-,-,30,-,-,-,-,-,T,LE,beast,VGM
757,Garret Levistusson,44,8d8 + 8,-,14,-,2,11,14,12,11,12,17,-,-,-,-,-,-,30,-,-,-,-,-,M,CN,humanoid,LLK
2321,Great Ulfe,59,7d10 + 21,-,11,-,2,19,8,16,5,7,7,-,-,-,-,-,-,40,-,-,-,-,-,L,CE,giant,TftYP
478,Young Topaz Dragon,127,17d10 + 34,-,17,-,7,17,12,15,16,15,16,-,+4,+5,-,+5,+6,40,80,40,-,-,-,L,CN,dragon,FTD
1468,Master Thief,84,13d8 + 26,-,16,-,5,11,18,14,11,11,12,-,+7,-,+3,-,-,30,-,-,-,-,-,M,A,humanoid,MPMM
632,Jamna Gleamsilver,22,4d6 + 8,-,15,-,1,8,17,14,15,10,12,-,+5,-,+4,-,-,25,-,-,-,-,-,S,N,humanoid,HotDQ
2116,Pest Mascot,22,4d4 + 12,-,13,-,1/4,11,14,17,5,13,4,-,-,-,-,-,-,30,-,-,-,-,-,T,U,monstrosity,SCC
861,Xill,33,6d8 + 6,-,16,-,3,14,18,13,11,14,9,-,-,-,-,-,-,40,-,-,-,-,-,M,LE,monstrosity,MFF
2222,Sheep,3,1d6,-,10,-,0,12,10,11,2,10,5,-,-,-,-,-,-,30,-,-,-,-,-,S,U,beast,SKT
612,Thousand Teeth,93,11d10 + 33,-,12,-,6,19,10,17,2,10,7,+7,-,+6,-,-,-,30,-,50,-,-,-,L,NE,monstrosity,GoS
301,Yarnspinner,138,12d12 + 60,-,16,-,10,24,16,21,18,21,19,-,-,+9,-,+9,+8,40,-,-,-,40,-,H,LG,fey,DoD
1733,Shadow Dancer,71,13d8 + 13,-,15,-,7,12,16,13,11,12,12,-,+6,-,-,-,+4,30,-,-,-,-,-,M,N,humanoid,MTF
31,Mercenary Envoy,26,4d8 + 8,-,15,-,1,15,15,15,10,12,9,+4,-,+4,-,-,-,30,-,-,-,-,-,M,-,humanoid,AitFR-FCD
1604,Leonin Iconoclast,67,9d8 + 27,-,17,-,5,14,18,16,13,17,10,-,+7,-,-,+6,-,40,-,-,-,-,-,M,A,humanoid,MOT
1587,Ashen Rider,178,21d8 + 84,-,18,-,16,20,16,19,15,21,18,+10,-,+9,-,+10,+9,30,-,-,-,-,-,M,LE,celestial,MOT
1741,Star Spawn Hulk,136,13d10 + 65,-,16,-,10,20,8,21,7,12,9,-,+3,-,-,+5,-,30,-,-,-,-,-,L,CE,aberration,MTF
2461,Mantrap,45,7d10 + 7,-,12,-,1,15,14,12,1,10,2,-,-,-,-,-,-,5,-,-,-,-,-,L,U,plant,ToA
615,Demogorgon,60,8d8 + 24,-,15,-,4,16,12,16,3,12,5,-,-,-,-,-,-,30,-,-,-,-,-,M,U,monstrosity,HftT
1789,Bridesmaid of Zuggtmoy,22,5d8,-,13,-,1/8,14,11,11,14,8,18,-,-,-,-,-,-,20,-,-,-,-,-,M,CE,plant,OotA
2846,Yagra Stonefist,32,5d8 + 10,-,11,-,1/2,15,11,14,10,10,11,-,-,-,-,-,-,30,-,-,-,-,-,M,N,humanoid,WDH
1836,Mev Flintknapper,27,5d8 + 5,-,13,-,2,10,10,12,13,16,13,-,-,-,-,-,-,30,-,-,-,-,-,M,A,humanoid,OotA
769,Nundro Rockseeker,4,1d8,-,10,-,0,10,10,10,10,10,10,-,-,-,-,-,-,30,-,-,-,-,-,M,A,humanoid,LMoP
44,Crokek'toeck,297,17d20 + 119,-,15,-,14,28,10,24,6,10,13,-,-,+12,-,+5,-,60,-,60,-,-,-,G,CE,fiend,BGDIA
890,Ancient Copper Dragon,350,20d20 + 140,-,21,-,21,27,12,25,20,17,19,-,+8,+14,-,+10,+11,40,80,-,-,40,-,G,CG,dragon,MM
1167,Orc Eye of Gruumsh,45,6d8 + 18,-,16,-,2,16,12,17,9,13,12,-,-,-,-,-,-,30,-,-,-,-,-,M,CE,humanoid,MM
1618,Satyr Reveler,33,6d8 + 6,-,13,-,1,12,16,13,12,10,16,-,-,-,-,-,-,40,-,-,-,-,-,M,CN,fey,MOT
2111,Mage Hunter,85,10d10 + 30,-,15,-,5,19,15,16,11,17,10,-,-,-,+3,+6,+3,40,10,-,-,-,True,L,LE,monstrosity,SCC
1195,Quasit,7,3d4,-,13,-,1,5,17,10,7,10,10,-,-,-,-,-,-,40,-,-,-,-,-,T,CE,fiend,MM
338,Sahuagin Warlock of Uk'otoa,22,5d8,-,14,-,3,14,10,11,8,8,16,-,-,-,-,-,-,30,-,40,-,-,-,M,NE,humanoid,EGW
456,Hoard Scarab,7,3d4,-,14,-,1/8,4,16,11,3,8,6,-,-,-,-,-,-,20,20,-,20,-,-,T,U,monstrosity,FTD
731,Grandfather Oak,138,12d12 + 60,-,16,-,9,23,8,21,12,16,12,-,-,-,-,-,-,30,-,-,-,-,-,H,CG,plant,IMR
1487,Neothelid,232,15d20 + 75,-,16,-,13,27,7,21,3,16,12,-,-,-,+1,+8,+6,30,-,-,-,-,-,G,CE,aberration,MPMM
1154,Nalfeshnee,184,16d10 + 96,-,18,-,13,21,10,22,19,12,15,-,-,+11,+9,+6,+7,20,30,-,-,-,-,L,CE,fiend,MM
962,Cult Fanatic,33,6d8 + 6,-,13,-,2,11,14,12,10,13,14,-,-,-,-,-,-,30,-,-,-,-,-,M,LNXCNYE,humanoid,MM
1317,Yuan-ti Pureblood,40,9d8,-,11,-,1,11,12,11,13,12,14,-,-,-,-,-,-,30,-,-,-,-,-,M,NE,humanoid,MM
1897,Amonkhet Hydra,172,15d12 + 75,-,15,-,8,20,12,20,2,10,7,-,-,-,-,-,-,30,-,30,-,-,-,H,U,monstrosity,PSA
1216,Satyr,31,7d8,-,14,-,1/2,12,16,11,12,10,14,-,-,-,-,-,-,40,-,-,-,-,-,M,CN,fey,MM
10,Keg Robot,39,6d8 + 12,-,14,-,2,16,16,15,6,8,5,-,-,-,-,-,-,30,-,-,-,-,-,M,U,construct,AI
2167,Deadstone Cleft Stone Giant,126,11d12 + 55,-,17,-,7,23,15,20,10,12,9,-,+5,+8,-,+4,-,40,-,-,-,-,-,H,N,giant,SKT
111,Nintra Siotta,306,36d10 + 108,-,17,-,16,16,24,16,17,15,24,+8,+12,-,-,+7,-,40,40,-,-,-,True,L,CE,fey,CM
2430,Blind Artist,22,3d8 + 9,-,8,-,0,13,6,16,3,6,5,-,-,-,-,+0,-,20,-,-,-,-,-,M,NE,undead,ToA
2157,Claugiyliamatar,385,22d20 + 154,-,21,-,22,27,12,25,20,17,19,-,+8,+14,-,+10,+11,40,80,40,-,-,-,G,LE,dragon,SKT
2053,Windharrow,55,10d8 + 10,-,15,-,3,10,16,12,14,10,17,-,-,-,-,-,-,30,-,-,-,-,-,M,NE,humanoid,PotA
2793,Krebbyg Masq'il'yr,84,13d8 + 26,-,18,-,4,13,18,14,11,13,14,-,+6,+4,-,+3,-,30,-,-,-,-,-,M,CN,humanoid,WDH
1785,Animated Drow Statue,33,6d8 + 6,-,18,-,1,14,11,13,1,3,1,-,-,-,-,-,-,25,-,-,-,-,-,M,U,elemental,OotA
324,Hulil Lutan,33,6d8 + 6,-,13,-,2,11,14,12,10,13,14,-,-,-,-,-,-,15,-,-,-,-,-,M,NE,humanoid,EGW
1382,Dhergoloth,119,14d8 + 56,-,15,-,7,17,10,19,7,10,9,+6,-,-,-,-,-,30,-,-,-,-,-,M,NE,fiend,MPMM
440,Dragonflesh Abomination,66,7d12 + 21,-,15,-,6,18,14,17,5,12,6,+7,-,+6,-,-,-,30,40,-,-,-,-,H,NE,monstrosity,FTD
977,Djinni,161,14d10 + 84,-,17,-,11,21,15,22,15,16,20,-,+6,-,-,+7,+9,30,90,-,-,-,-,L,CG,elemental,MM
1909,Hippopotamus,76,8d12 + 24,-,12,-,4,22,9,17,3,11,6,-,-,-,-,-,-,40,-,30,-,-,-,H,U,beast,PSA
1423,Gauth,52,7d8 + 21,-,15,-,6,10,14,16,15,15,13,-,-,-,+5,+5,+4,0,20,-,-,-,True,M,LE,aberration,MPMM
1077,Grick Alpha,75,10d10 + 20,-,18,-,7,18,16,15,4,14,9,-,-,-,-,-,-,30,-,-,-,30,-,L,N,monstrosity,MM
447,Emerald Dragon Wyrmling,39,6d8 + 12,-,16,-,2,15,12,15,14,12,14,-,+3,+4,-,+3,+4,30,60,-,20,-,-,M,LN,dragon,FTD
186,Rahadin,135,18d8 + 54,-,18,-,10,14,22,17,15,16,18,-,-,+7,-,+7,-,35,-,-,-,-,-,M,LE,humanoid,CoS
238,Dancing Flame,66,12d8 + 12,-,15,-,4,8,17,13,15,12,20,-,-,-,-,-,-,30,60,-,-,-,-,M,NE,fiend,CRCotN
344,Swarm of Undead Snakes,36,8d8,-,14,-,2,8,18,11,1,10,3,-,-,-,-,-,-,30,-,30,-,-,-,M,U,undead,EGW
2763,Black Viper,84,13d8 + 26,-,16,-,5,11,18,14,11,11,12,-,+7,-,+3,-,-,30,-,-,-,-,-,M,CN,humanoid,WDH
1600,Hundred-Handed One,243,18d12 + 126,-,15,-,15,26,15,25,14,16,16,-,-,+12,-,+8,-,40,-,-,-,-,-,H,LN,giant,MOT
191,Sir Godfrey Gwilym,136,16d8 + 64,-,13,-,6,18,14,18,13,16,18,+7,-,+7,-,+6,+7,30,-,-,-,-,-,M,LE,undead,CoS
1248,Swarm of Insects,22,5d8,-,12,-,1/2,3,13,10,1,7,1,-,-,-,-,-,-,20,-,-,-,20,-,M,U,beast,MM
652,Chardalyn Berserker,90,12d8 + 36,-,13,-,4,16,12,17,9,11,9,-,-,-,-,-,-,30,-,-,-,-,-,M,CE,fiend,IDRotF
1429,Githyanki Gish,130,20d8 + 40,-,17,-,10,17,15,14,16,15,16,-,-,+6,+7,+6,-,30,-,-,-,-,-,M,A,humanoid,MPMM
2508,Alhoon,120,16d8 + 48,-,15,-,10,11,12,16,19,17,17,-,-,+7,+8,+7,+7,30,-,-,-,-,-,M,LNXCE,undead,VGM
889,Ancient Bronze Dragon,444,24d20 + 192,-,22,-,22,29,10,27,18,17,21,-,+7,+15,-,+10,+12,40,80,40,-,-,-,G,LG,dragon,MM
1671,Duergar Mind Master,39,6d8 + 12,-,14,-,2,11,17,14,15,10,12,-,-,-,-,+2,-,25,-,-,-,-,-,M,LE,humanoid,MTF
2713,Displacer Beast Kitten,9,2d6 + 2,-,12,-,1/8,12,13,12,4,10,6,-,-,-,-,-,-,30,-,-,-,-,-,S,U,monstrosity,WBtW
626,Dragonwing,33,6d8 + 6,-,14,-,2,11,16,13,11,11,13,-,-,-,-,+2,-,30,-,-,-,-,-,M,LE,humanoid,HotDQ
1417,Flail Snail,52,5d10 + 25,-,16,-,3,17,5,20,3,10,5,-,-,-,-,-,-,10,-,-,-,-,-,L,U,elemental,MPMM
1751,The Angry,255,30d8 + 120,-,18,-,13,17,10,19,8,13,6,-,-,-,-,-,-,30,-,-,-,-,-,M,LE,monstrosity,MTF
1616,Returned Palamnite,65,10d8 + 20,-,15,-,4,10,17,14,13,12,15,-,-,-,-,-,-,30,-,-,-,-,-,M,CE,undead,MOT
497,Deathpact Angel,175,27d8 + 54,-,18,-,14,16,18,14,19,20,23,-,-,-,+9,+10,+11,30,90,-,-,-,-,M,LE,celestial,GGR
161,Izek Strazni,112,15d8 + 45,-,14,-,5,18,15,16,10,9,15,-,-,-,-,-,-,30,-,-,-,-,-,M,NE,humanoid,CoS
2482,Syndra Silvane,99,18d8 + 18,-,12,-,12,10,14,12,20,15,16,-,-,-,+9,+6,-,30,-,-,-,-,-,M,L,humanoid,ToA
2202,Narbeck Horn,52,8d8 + 16,-,18,-,3,16,11,14,11,11,15,-,-,+4,-,+2,-,30,-,-,-,-,-,M,N,humanoid,SKT
1942,"Elder Dinosaur (Ghalta, Primal Hunger)",676,33d20 + 330,-,25,-,30,30,11,30,3,11,11,-,-,-,+5,+9,+9,40,-,-,-,-,-,G,U,monstrosity,PSX
1396,Duergar Hammerer,33,6d8 + 6,-,17,-,2,17,7,12,5,5,5,-,-,-,-,-,-,20,-,-,-,-,-,M,A,construct,MPMM
1610,Oracle,44,8d8 + 8,-,15,-,4,10,14,12,13,16,15,-,-,-,-,+5,+4,30,-,-,-,-,-,M,A,humanoid,MOT
2219,Shaldoor,230,20d12 + 100,-,16,-,13,29,14,20,16,18,18,+14,-,+10,-,+9,+9,50,-,50,-,-,-,H,CG,giant,SKT
2742,Skabatha Nightshade,150,20d8 + 60,-,16,-,8,18,9,16,12,16,15,-,-,+6,+4,+6,+5,30,-,-,-,-,-,M,NE,fey,WBtW
1845,Rumpadump,7,2d6,-,10,-,0,8,10,10,8,11,5,-,-,-,-,-,-,10,-,-,-,-,-,S,LN,plant,OotA
736,Sir Ursas,112,15d8 + 45,-,20,-,5,18,15,16,10,12,15,+7,+5,+6,-,-,-,30,-,-,-,-,-,M,LE,humanoid,IMR
1325,Allip,40,9d8,-,13,-,5,6,17,10,17,15,16,-,-,-,+6,+5,-,0,40,-,-,-,True,M,NE,undead,MPMM
1666,Drow Matron Mother,262,35d8 + 105,-,17,-,20,12,18,16,17,21,22,-,-,+9,-,+11,+12,30,-,-,-,-,-,M,NE,humanoid,MTF
3,Chaos Quadrapod,52,7d10 + 14,-,14,-,4,18,13,15,6,10,4,-,-,-,-,-,-,40,-,-,-,40,-,L,CE,aberration,AI
1408,Elder Oblex,115,10d12 + 50,-,16,-,10,15,16,21,22,13,18,-,-,-,+10,-,+8,20,-,-,-,-,-,H,LE,ooze,MPMM
2507,Abjurer,84,13d8 + 26,-,12,-,9,9,14,14,18,12,11,-,-,-,+8,+5,-,30,-,-,-,-,-,M,A,humanoid,VGM
2425,Asharra,31,7d8,-,12,-,2,10,14,10,14,17,11,-,-,-,-,-,-,20,50,-,-,-,-,M,LN,humanoid,ToA
1289,White Dragon Wyrmling,32,5d8 + 10,-,16,-,2,14,10,14,5,10,11,-,+2,+4,-,+2,+2,30,60,30,15,-,-,M,CE,dragon,MM
1182,Plesiosaurus,68,8d10 + 24,-,13,-,2,18,15,16,2,12,5,-,-,-,-,-,-,20,-,40,-,-,-,L,U,beast,MM
2285,Amphisbaena,60,8d12 + 8,-,12,-,3,19,14,12,1,10,3,-,-,-,-,-,-,30,-,30,-,-,-,H,U,beast,TftYP
288,Ebondeath,225,10d8,-,15,-,4,7,13,10,10,12,17,-,-,-,-,-,-,0,40,-,-,-,-,M,A,undead,DC
667,Frost Druid,67,9d8 + 27,-,13,-,5,12,13,16,10,16,9,-,-,-,+3,+6,-,-,60,-,-,-,-,M,A,humanoid,IDRotF
2033,Miraj Vizann,82,11d8 + 33,-,10,-,6,12,10,17,13,11,18,-,-,-,-,-,-,30,-,-,-,-,-,M,NE,humanoid,PotA
2177,Great Chief Halric Bonesnapper,99,9d8 + 27,-,13,-,2,16,12,17,9,11,9,-,-,-,-,-,-,30,-,-,-,-,-,M,CE,humanoid,SKT
2520,Blackguard,153,18d8 + 72,-,18,-,8,18,11,18,11,14,15,-,-,-,-,+5,+5,30,-,-,-,-,-,M,LNXCNYE,humanoid,VGM
686,Isarr Kronenstrom,117,18d8 + 36,-,15,-,8,16,16,15,14,15,16,-,-,-,-,-,-,30,-,-,-,-,-,M,CE,humanoid,IDRotF
309,Blood Hunter,65,10d8 + 20,-,16,-,5,18,12,15,9,16,11,+7,-,-,-,+6,-,30,-,-,-,-,-,M,A,humanoid,EGW
282,Slithering Bloodfin,93,11d10 + 33,-,16,-,9,20,14,16,2,10,3,-,-,-,-,-,-,5,-,50,-,-,-,L,U,aberration,CRCotN
2008,Crushing Wave Priest,52,8d8 + 16,-,13,-,2,15,11,14,10,11,16,-,-,-,-,-,-,30,-,-,-,-,-,M,NE,humanoid,PotA
1208,Roper,93,11d10 + 33,-,20,-,5,18,8,17,7,16,6,-,-,-,-,-,-,10,-,-,-,10,-,L,NE,monstrosity,MM
2608,Redcap,45,6d6 + 24,-,13,-,3,18,13,18,10,12,9,-,-,-,-,-,-,25,-,-,-,-,-,S,CE,fey,VGM
60,Krull,117,18d8 + 36,-,17,-,6,20,14,15,12,20,12,-,-,-,-,+8,+4,30,-,-,-,-,-,M,LE,humanoid,BGDIA
460,Metallic Warbler,14,4d4 + 4,-,14,-,1/4,4,15,12,9,10,12,-,+4,-,-,-,-,40,60,-,-,-,-,T,NG,construct,FTD
2524,Booyahg Booyahg Booyahg,40,9d8,-,12,-,6,9,14,11,17,12,11,-,-,-,+6,+4,-,30,-,-,-,-,-,M,A,humanoid,VGM
2354,Obmi,78,12d8 + 24,-,15,-,8,16,16,14,13,11,16,-,+6,-,+4,-,-,30,-,-,-,-,-,M,LNXCNYE,humanoid,TftYP
1801,Drow Noble,9,2d8,-,15,-,1/8,11,12,11,12,14,16,-,-,-,-,-,-,30,-,-,-,-,-,M,A,humanoid,OotA
556,Wurm,247,15d20 + 90,-,18,-,15,28,7,22,1,8,4,-,-,+11,-,+4,-,50,-,-,30,-,-,G,U,monstrosity,GGR
1740,Star Spawn Grue,17,5d6,-,11,-,1/4,6,13,10,9,11,6,-,-,-,-,-,-,30,-,-,-,-,-,S,LE,aberration,MTF
